<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	10:05:00	110825	110865	110710	110750	27013	95435	5
2023.01.02	10:10:00	110750	110820	110695	110780	20647	73380	5
2023.01.02	10:15:00	110780	110850	110775	110825	12847	47265	5
2023.01.02	10:20:00	110825	110900	110820	110890	11985	43321	5
2023.01.02	10:25:00	110890	111000	110885	110995	14457	51905	5
2023.01.02	10:30:00	110995	111050	110980	111030	10659	38565	5
2023.01.02	10:35:00	111030	111100	111025	111090	9158	32735	5
2023.01.02	10:40:00	111090	111150	111080	111140	7988	28980	5
2023.01.02	10:45:00	111140	111200	111135	111190	8730	31295	5
2023.01.02	10:50:00	111190	111250	111180	111245	8360	30365	5
2023.01.02	10:55:00	111245	111285	111210	111210	75716	27730	5
2023.01.02	11:00:00	111210	111245	111155	111235	7811	28120	5
2023.01.02	11:05:00	111235	111240	111160	111185	6270	22665	5
2023.01.02	11:10:00	111185	111295	111180	111285	8688	31340	5
2023.01.02	11:15:00	111285	111385	111280	111360	8289	30055	5
2023.01.02	11:20:00	111360	111365	111265	111280	7886	28250	5
2023.01.02	11:25:00	111280	111330	111230	111320	6525	23490	5
2023.01.02	11:30:00	111320	111320	111175	111200	9491	33955	5
2023.01.02	11:35:00	111200	111215	111080	111105	10476	37280	5
2023.01.02	11:40:00	111105	111180	111055	111170	7389	26620	5
2023.01.02	11:45:00	111170	111170	111080	111115	6509	23305	5
2023.01.02	11:50:00	111115	111165	111085	111155	4927	17725	5
2023.01.02	11:55:00	111155	111245	111150	111235	5741	20695	5
2023.01.02	12:00:00	111235	111305	111225	111285	5858	21285	5